measurement_type,datetimems,measurement
ECG,1405436379808,514
ECG,1405436379812,513
ECG,1405436379816,511
ECG,1405436379820,510
ECG,1405436379824,509
ECG,1405436379828,508
ECG,1405436379832,507
ECG,1405436379836,507
ECG,1405436379840,506
ECG,1405436379844,506
ECG,1405436379848,505
ECG,1405436379852,505
ECG,1405436379856,505
ECG,1405436379860,505
ECG,1405436379864,505
ECG,1405436379868,505
ECG,1405436379872,505
ECG,1405436379876,505
ECG,1405436379880,505
ECG,1405436379884,505
ECG,1405436379888,505
ECG,1405436379892,505
ECG,1405436379896,505
ECG,1405436379900,505
ECG,1405436379904,505
ECG,1405436379908,505
ECG,1405436379912,505
ECG,1405436379916,505
ECG,1405436379920,505
ECG,1405436379924,505
ECG,1405436379928,505
ECG,1405436379932,505
ECG,1405436379936,505
ECG,1405436379940,505
ECG,1405436379926,505
ECG,1405436379930,505
ECG,1405436379934,505
ECG,1405436379938,505
ECG,1405436379942,505
ECG,1405436379946,505
ECG,1405436379950,505
ECG,1405436379954,505
ECG,1405436379958,505
ECG,1405436379962,505
ECG,1405436379966,505
ECG,1405436379970,504
ECG,1405436379974,504
ECG,1405436379978,505
ECG,1405436379982,505
ECG,1405436379986,506
ECG,1405436379990,506
ECG,1405436379994,506
ECG,1405436379998,505
ECG,1405436380002,505
ECG,1405436380006,504
ECG,1405436380010,504
ECG,1405436380014,504
ECG,1405436380018,504
ECG,1405436380022,504
ECG,1405436380026,505
ECG,1405436380030,504
ECG,1405436380034,504
ECG,1405436380038,504
ECG,1405436380042,504
ECG,1405436380046,504
ECG,1405436380050,504
ECG,1405436380054,504
ECG,1405436380058,504
ECG,1405436380062,504
ECG,1405436380066,504
ECG,1405436380070,504
ECG,1405436380074,504
ECG,1405436380078,504
